,serial,OBJ_ALG,FAR_ALG,OBJ_FAR_AGG,LDCM,human_obj,human_far,human_objfaragg
0,15,0.831709677,2.071960046,1.451834862,0.008040394,3,7,5
1,25,1.197885773,2.767191828,1.9825388,0.043777432,3,7,5
2,33,0.597928971,0.86146673,0.729697851,-0.456810809,2,7,4.5
3,36,0.44966557,1.317115335,0.883390453,-0.192176949,1,7,4
4,38,3.306721014,8.639490776,5.973105895,-0.408472591,7,4,5.5
5,39,2.257060292,5.671708833,3.964384563,0.359517824,7,6,6.5
6,43,4.168129527,7.184089657,5.676109592,-0.002691525,4,7,5.5
7,52,1.197631653,2.73843671,1.968034181,0.467874329,1,7,4
8,60,0.074825401,0.160823376,0.117824389,-0.40570504,1,7,4
9,75,4.660077846,11.27608375,7.9680808,0.459551652,4,5,4.5
10,91,3.541110171,5.303699389,4.42240478,-0.431455325,1,3,2
11,93,2.744227019,6.08362092,4.413923969,0.312331399,1,3,2
12,95,2.762462248,7.385625964,5.074044106,0.588521763,7,7,7
13,110,0.796727141,1.648744444,1.222735793,-0.51436837,1,7,4
14,132,0.492418084,1.048219234,0.770318659,-0.088890158,1,5,3
15,134,1.645384718,2.453066432,2.049225575,-0.841777449,4,7,5.5
16,145,0.639127695,0.899111983,0.769119839,-0.472168345,2,6,4
17,146,0.492418084,1.048219234,0.770318659,-0.081421235,1,7,4
18,151,0.543851904,2.56681348,1.555332692,-3.555063774,1,1,1
19,161,1.809543357,4.836268359,3.322905858,0.458130494,1,7,4
20,169,1.319108295,3.805258974,2.562183634,0.246178492,4,5,4.5
21,179,2.111181497,4.450290889,3.280736193,-0.415849623,2,7,4.5
23,197,1.595269931,3.628370617,2.611820274,0.106995201,7,7,7
24,207,2.586360242,5.717436661,4.151898452,0.687664891,2,7,4.5
25,210,1.272457054,2.899260087,2.08585857,0.465960985,1,7,4
26,211,0.492418084,1.048219234,0.770318659,0.061622621,1,7,4
27,226,2.591759106,4.845260233,3.71850967,0.499056608,4,7,5.5
28,228,2.990554383,6.977563548,4.984058966,-0.241925295,3,7,5
29,233,0.972673352,2.520885197,1.746779275,-0.142947777,2,7,4.5
30,239,2.796317342,7.304434146,5.050375744,0.089133088,1,7,4
31,260,0.129783951,0.13973064,0.134757295,-0.40570504,2,7,4.5
32,261,2.24506827,6.917611912,4.581340091,0.231282231,1,7,4
33,267,1.684124794,2.877284207,2.280704501,-0.366750031,2,6,4
34,268,0.873904855,1.791233911,1.332569383,-1.856783253,2,3,2.5
35,270,2.156750322,3.179997105,2.668373713,-0.613037105,3,4,3.5
36,279,1.029675661,2.476347491,1.753011576,0.473079129,2,5,3.5
37,280,0.724057529,1.549773911,1.13691572,0.550896564,1,3,2
38,281,1.638207921,3.791613927,2.714910924,0.151281151,1,7,4
39,283,1.843469869,2.273278849,2.058374359,-0.268337081,1,6,3.5
40,284,1.407166948,2.056838105,1.732002526,0.146294895,1,7,4
41,292,1.5717843,3.420513256,2.496148778,0.025103953,1,7,4
42,295,1.263071024,2.079714941,1.671392983,0.39128439,1,7,4
43,308,4.009809196,9.140565123,6.57518716,0.221331566,7,7,7
44,329,0.324243709,0.330475635,0.327359672,-0.17663896,1,7,4
45,341,1.696970607,3.506768544,2.601869575,0.250166193,7,7,7
46,346,1.494098047,2.867151078,2.180624562,-0.030827908,3,5,4
47,356,0.492418084,1.048219234,0.770318659,-0.395524772,1,2,1.5
49,370,0.699322344,2.081408848,1.390365596,-0.081421235,1,4,2.5
50,371,0.960995986,2.893186656,1.927091321,0.830900343,7,7,7
51,374,2.295811309,4.813896026,3.554853667,0.185081834,1,4,2.5
52,383,1.005957879,2.233092922,1.6195254,0.149111295,1,7,4
53,393,2.436139942,5.225242476,3.830691209,0.165552973,4,7,5.5
54,402,0.836718666,1.337840954,1.08727981,0.540122142,1,7,4
55,412,0.070502362,0.164266734,0.117384548,-0.254375563,1,7,4
56,416,2.812412252,5.768273153,4.290342702,0.580625639,1,7,4
57,432,1.033438121,3.328378717,2.180908419,-0.157181479,7,7,7
58,437,1.660739389,4.035465788,2.848102588,0.095617388,1,4,2.5
59,439,2.709578789,7.146861443,4.928220116,0.490101425,7,7,7
60,441,1.028700905,2.463075179,1.745888042,-0.21415349,1,7,4
61,444,1.007110766,3.330315421,2.168713093,0.607165156,1,6,3.5
62,446,0.361387948,1.624843817,0.993115882,0.143962042,1,4,2.5
63,451,2.13579862,5.355093425,3.745446022,-0.019480841,2,4,3
64,452,1.144546654,2.451489923,1.798018289,-0.138542538,1,5,3
65,475,2.651570013,5.450049072,4.050809542,-0.405113716,3,3,3
66,534,2.03238829,4.593374299,3.312881295,0.601215121,2.5,7,4.75
67,542,1.216692006,2.601148477,1.908920242,0.29789149,2,2,2
68,553,0.465303616,0.243121299,0.354212458,-1.192931103,1,1,1
69,558,2.994224675,7.778249572,5.386237124,0.378439345,2,5.5,3.75
70,583,2.013568002,4.988452844,3.501010423,0.589094357,3,2,2.5
71,587,0.493220555,1.051118467,0.772169511,-0.000129436,1.5,6,3.75
73,642,2.219872799,6.194756407,4.207314603,0.069488975,3,5.5,4.25
74,653,0.513323402,1.181718355,0.847520879,-0.088890158,2,7,4.5
75,667,0.324243709,0.330475635,0.327359672,-0.215507262,1,1,1
76,670,0.984836168,2.096438468,1.540637318,-0.084908127,3,1.5,2.25
77,671,0.513323402,1.181718355,0.847520879,-0.44497078,2,3.5,2.75
78,686,2.891505688,4.532859186,3.712182437,0.312405239,3.5,6,4.75
79,687,1.005741486,2.229937589,1.617839538,0.186991417,2,1,1.5
80,692,1.122427975,1.608225572,1.365326773,0.279107314,4.5,6,5.25
81,694,1.001915344,0.458749974,0.730332659,-0.17663896,3.5,4,3.75
82,700,0.900927483,2.184077688,1.542502585,-0.442407899,3.5,1,2.25
83,701,1.497320249,3.246500986,2.371910617,0.255448326,1,6.5,3.75
84,739,2.55439031,5.917552195,4.235971253,0.456654469,2,7,4.5
85,758,0.000848445,1.187083205,0.593965825,0.151281151,1,6.5,3.75
86,765,1.320876658,1.300913567,1.310895113,-0.559750772,4,3,3.5
