1-train_loss,1-epoch,step,1-val_loss,1-r2score,1-explained_var
3.047700881958008,0,49,,,
3.2892074584960938,0,99,,,
0.8709332942962646,0,149,,,
2.730619192123413,0,163,,,
,0,163,2.2182304859161377,0.08348166000779338,0.3947794227472936
1.4425243139266968,1,199,,,
1.0606532096862793,1,249,,,
1.8260407447814941,1,299,,,
2.185096502304077,1,327,,,
,1,327,2.1369361877441406,0.1151792373963119,0.397302100797822
2.173434019088745,2,349,,,
0.9893882870674133,2,399,,,
0.593482255935669,2,449,,,
2.041724443435669,2,491,,,
,2,491,2.534679651260376,-0.06842163718295442,0.2879857389451099
2.2744033336639404,3,499,,,
1.2061196565628052,3,549,,,
2.3995988368988037,3,599,,,
4.1427717208862305,3,649,,,
2.0004680156707764,3,655,,,
,3,655,2.053650140762329,0.1439524319403255,0.398420837641097
2.2120602130889893,4,699,,,
3.242614507675171,4,749,,,
1.683606743812561,4,799,,,
1.9488859176635742,4,819,,,
,4,819,2.5549683570861816,-0.07375210122752753,0.3168875025025202
1.188940405845642,5,849,,,
1.6537773609161377,5,899,,,
1.2985167503356934,5,949,,,
1.8754780292510986,5,983,,,
,5,983,2.6496665477752686,-0.11640964745522152,0.28319631122180977
2.670145273208618,6,999,,,
1.9956990480422974,6,1049,,,
2.619123935699463,6,1099,,,
1.8577985763549805,6,1147,,,
,6,1147,2.006819248199463,0.1575463404348034,0.40131033212739303
2.836162805557251,7,1149,,,
1.3155771493911743,7,1199,,,
3.0075600147247314,7,1249,,,
1.231458067893982,7,1299,,,
1.8330408334732056,7,1311,,,
,7,1311,2.559048891067505,-0.07749278510694413,0.3006598922259164
0.5645694136619568,8,1349,,,
1.631758689880371,8,1399,,,
2.000483989715576,8,1449,,,
1.8577138185501099,8,1475,,,
,8,1475,2.491354465484619,-0.05318173340416007,0.2766706369697742
1.8832738399505615,9,1499,,,
1.169435739517212,9,1549,,,
0.9673932790756226,9,1599,,,
1.8152025938034058,9,1639,,,
,9,1639,2.1231682300567627,0.10566364501148622,0.3686964480672451
