[ROOT-INFO]: 2019-07-15 19:18:21,704: Testing Notes: Objective Distancing - Sentiment Sentence Level - rawScore * polarityOnly
[ROOT-INFO]: 2019-07-15 19:18:21,704: Objective Analysis Initialized
[REAPPRAISAL-INFO]: 2019-07-15 19:18:44,412: spaCy Library Loaded
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:44,414: Model Initialized
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:44,464: Old Score: 3.9166666666666665, New Score: 3.9166666666666665
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:44,501: Old Score: 3.3617021276595747, New Score: 3.1936170212765957
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:44,524: Old Score: 4.5625, New Score: 4.5625
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:44,546: Old Score: 4.8085106382978715, New Score: 4.623567921440261
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:44,568: Old Score: 4.51063829787234, New Score: 4.51063829787234
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:44,586: Old Score: 4.8085106382978715, New Score: 1.9234042553191486
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:44,620: Old Score: 3.391304347826087, New Score: 3.1878260869565214
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:44,636: Old Score: 3.208333333333333, New Score: 3.208333333333333
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:44,653: Old Score: 3.234042553191489, New Score: 3.234042553191489
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:44,653: Old Score: 3.6170212765957452, New Score: 1.8085106382978726
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:44,669: Old Score: 4.127659574468085, New Score: 4.127659574468085
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:44,686: Old Score: 3.8297872340425534, New Score: 3.8297872340425534
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:44,686: Old Score: 4.326086956521738, New Score: 4.326086956521738
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:44,701: Old Score: 4.51063829787234, New Score: 3.382978723404255
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:44,718: Old Score: 3.808510638297872, New Score: 2.2851063829787233
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:44,728: Old Score: 4.0638297872340425, New Score: 2.4382978723404256
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:44,741: Old Score: 3.6739130434782608, New Score: 3.0003623188405797
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:44,757: Old Score: 4.375, New Score: 4.034722222222222
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:44,759: Old Score: 4.723404255319148, New Score: 3.345744680851063
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:44,777: Old Score: 4.833333333333333, New Score: 4.833333333333333
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:44,794: Old Score: 5.297872340425532, New Score: 5.297872340425532
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:44,794: Old Score: 5.1914893617021285, New Score: 5.1914893617021285
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:44,809: Old Score: 5.5, New Score: 5.5
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:44,826: Old Score: 4.680851063829787, New Score: 4.290780141843972
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:44,827: Old Score: 3.7083333333333335, New Score: 1.4833333333333334
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:44,843: Old Score: 3.7446808510638303, New Score: 1.8723404255319152
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:44,861: Old Score: 5.9361702127659575, New Score: 5.9361702127659575
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:44,861: Old Score: 4.375, New Score: 3.828125
