,addcode,Group,Bin,Subj_ID,daycode,Cue1,Cue2,Group_ID,ReappSuccess,Condition,score,response
0,XAQ1001,X,AQ,1001,1,LOOK,CHANGE,OBJ,1.1999999999999997,RegNeg,2.1,"this is a photo of a man and woman who look like they are yelling or fighting with each other while there is a child in between them covering his ears and looking at the camera. the man and woman a. this photo is of a child sitting in what looks like a high chair or some form. the child has a pained expression on its face and looks like it is wrapped in a blanket/ . this is two hands holding a small gun. the hands have long nails, and the gun is either silver or black. the person holding it seems to be wearing a denim jacket . this is someone holding a small gun. the person's head is not in the shot - only their arm. the gun is small and black or silver. the hand is large compared to the size of the gun. the person . this looks like two men breaking and entering a house. there seems to be rubble on the ground so i can't tell if the house is abandoned or not. the shot is blurry so it looks like an action shot . this is a child wearing a blanket holding something running towards the camera while there is a man holding a gun behind the child a little more out of focus. the ground is dir. this is a man holding a gun with a white bandana over his face. he is wearing short sleeves and jeans. his hair is dark and you can only see his eyes and eyebrows . this is three men. one is holding a gun and wearing a watch and jewelry with a bandana on his head. the others are wearing black shirts and one is w. this is a man wearing sunglases and a white shirt and a denim jacket. he is holding a small gun in his hand which is out of focus in the picture. his mouth is open so you can see his teeth. he . this is a photo of a man wearing a hat who is pointing a gun at the camera. the gun is so close to the camera that it is out of focus. the man looks like he is hunting because he is wear. "
1,XAQ1001,X,AQ,1001,2,LOOK,CHANGE,OBJ,0.6777777777777776,RegNeg,2.2222222222222223,"this is a cut off hand. it looks really bloody and it is all mangled. it also looks like it got cut off a while ago because it doesn't look fresh; it looks rotting kind of. it is on a blue blanket. . this is a bloody man. he has blood on his face and his shirt. he is wearing professional clothes. he looks like he is yelling. there is also blood in his hair. his mouth is open. he has brown hair and a. this is a hand holding a knife on a black background. the knife is small. the person holding it is wearing a black jacket. the hand is large. . this is a woman who looks like she has been crying holding a half-smoked cigarette . there is mascara around her eyes and she has blonde messy hair. her mouth is kind of open and her bro. this is a man who is grabbing a woman and looks like he is pushing her into a large van. the man is wearing a blue striped shirt and jeans. the woman is wearing a tye die . this is a man holding his hand to the throat of a woman. she is grabbing his arm. her hair is blonde and she is wearing a tye die shirt. the man looks older and has brown hair and is wearing a red polo. they ar ein front of a car . this looks like a man holding a knife to a woman's neck. neither face is in the frame, but you can see the man's mouth and nose. he looks like he is snarling. the knife is small, and the hand holding it is gloved. the woman is w. this is a man who looks like he has just hit a woman across the face.the woman's mouth is open and her head is out of focus. she is wearing a patterned shirt and the man is wearing black. he h. this looks like a cartoon character? it is fuzzy in terms of photo quality and the eyes are slanted upwards.the photo looks kind of menacing and looks like a mask of some sort. there is a. this is someone who looks like they are holding a knife to a tiger's neck over a bucket filled with blood. the tiger has a rope around its neck. there is a crowd watching . "
2,XAQ1001,X,AQ,1001,3,LOOK,CHANGE,OBJ,,RegNeg,,"this is a baby in some hospital. the baby looks premature and has different tubes hooked up to its body. the baby is being held by a hand, so it is easy to tell how small the baby is. . this is a man wearing red and sunglasses holding a gun to the head of a man wearing white. they are on the subway. this photo looks old because the subway is so dirty. the man in white is cowering. . this is a man wearing a ski mask with blue eyes. his brow looks furrowed. he is holding a knife and his hand is out of focus. his jacket is blue and white.. this looks like a man who just hit a woman. the whole shot is kind of fuzzy and blurry. the woman has curly blonde hair and the man is wearing a yellow shirt and has brown hair. the woman's head is turned to the side and the man has his . this is a man grabbing the mouth of a woman and holding some kind of object (maybe a knife) near her throat. the man is wearing a yellow shirt and the woman has blonde hair and is wearing black. . this is a man holding a knife to a woman's throat. the knife is big. the man is wearing a watch. the woman is wearing black and has blonde hair and is wearing earrings. the man has his hand over her mouth. this is a person that has a very long knife up against their neck. their mouth is open and they are wearing a white shirt. they are also holding what looks like a stick that is l. this is a man holding a gun to the face of a woman. he is also grabbing her hair, which is long and blonde. her face is scrunched up. he is wearing yellow and a watch, and she is wearing black. his hair is brown. . this looks like  a man who is yelling at a woman who is hitting him in the chest. her face is turned away and she looks upset. she has blonde hair and he has brown hair. she is wearing a tank to. this is a woman in a house. she looks shocked and surprised. there is a gun in the corner of the photo and it is dark. the woman looks a little . "
3,YAQ2001,Y,AQ,2001,1,LOOK,CHANGE,FAR,0.9999999999999998,RegNeg,1.8,"There was a couple arguing, with what looks like their son plugging his ears. This arguing occurred a long time ago when the boy was young and in a c. The child in the photo was in a building that looks like a hospital far away. The child was . There was a gun pointing towards someone. This occurred a long time ago and the situation also o. Someone was pointing a gun at something nearby. The person was in a room that's far from me and . There was a tense situation with people holding guns. This blurry photo was taken years ago and in a city that's not near where I am. I. There was a young boy in a country far away that was running from a man holding a gun. The boy was runn. There was a man holding a gun in a situation that occurred quite long ago. The man had a bandana across his face and was i . There were three men with one pointing a gun towards the camera. This situation was at least five years ago and occurred in a city that's not nearby. This was a man pointing a gun in the direction of the camera in a city far away. The man was in a city that I don't know or . There was a man pointing a gun very close to the camera. He is in a country far away and this tense situation occurred very l. "
4,XAQ1001,X,AQ,1001,4,LOOK,CHANGE,OBJ,-0.08888888888888902,RegNeg,2.2,"this looks like a police officer pushing down and restraining a man. the man being restrained has his mouth open and is yelling but only his head is visible.the police officer has a walkie talkie but you cannot . this is a photo of a child screaming outside a car with a man pointing at the ground. there are two people already lying on the ground. the car door is open. the child has her hands up and her mouth is open. she . this is a man with duct tape over his mouth and the back of his head being escorted by two police officers in what looks like a court room. the man is standing over another man weari. these look like hostages being held in an open container somewhere. their arms and hands are chained together and up, and they have their heads bowed. they are all wearing jackets and hats, and their boots loo. this is a group of people sitting in a ditch. they are all wearing heavy clothing, which looks like it is during winter. there is somthing in the corner of the photo, kind of like a pole. . this looks like someone lighting someone else on fire. there is a lot of fire and the body looks burnt. i can't really tell what is happening here though. the grou. this is a car crash. there are fire fighters around looking at the car. the car is smashed sideways into a pole. there are some people also watching, probably who were involved in the accident. . this is a scene of a car crash. it looks like there are fire fighters helping the people whowere in the car crash, and there are also other people assisting. . this is a photo of fire fighters bringing  a woman out of a house that is on fire. the woman is lying flat in a firefighter's arms and she looks burnt. her head is limp. there is smoke visible, and they . this is an image of a man and a woman and a child wading through waist or chest high water. the man has the child on his shoulders. the woman looks like she is leading them through the water, and is holding . "
5,XAQ1001,X,AQ,1001,5,LOOK,CHANGE,OBJ,-0.10000000000000009,RegNeg,1.8,"there is a woman looking down and to the side with her finger on hr temple. there is a man with both his hands up who looks like he is speaking to the woman in an accusatory way. the woman has her brow furrowed. this is an injured, mangled face. one eye is comletely split open and super bloody, and the other is bruised. there is blood and cuts all over the face . the focus of this photo is a pill bottle with some pill spilling out. there is a hand of a person next to it, and the person is passed out. in the background, a. there is a man in the photo looking at the camera. he looks shocked and confused. there is a woman in the background out of focus who looks very angry. this is a woman and a man sitting on a couch. the woman has her head resting in her palm, and the man is leaning back and more sprawled out. the couch is green and the wall is yel. this is a father holding a small child who has bandages on her arm. the child has an iv or something that is hooked up to a machine. the chid is wearing patterned pajamas, and the father is wearing a str. there is a man in focus with arms crossed looking down, there is a woman behind him who is looking up with her hands raised and mouth open. the man looks solemn or expressionless. he is wearing a collared sh. this is a woman with her head in her hand. her face is not visible. there is another woman looking at her in a comforting or neutral manner. the woman in focus is wearing a grey shirt and has her hair up. . this is a group of three men pulling a gurney with someone on it. the person on it has an iv in that one of the men is holding, but is covered in a red blanket. . this is a man with a scrape on his face. he looks expressionless. there is a woman next to him with her hand on his chest who looks concerned. the woman has blonde hair. the man has short hair and is wearing. "
6,YAQ2001,Y,AQ,2001,2,LOOK,CHANGE,FAR,2.1000000000000005,RegNeg,2.3,This is a picture of a hand that has been cut off. This occurred a long time ago and this severed hand was cut off in a p. This was a situation of a man that was covered in blood. It occurred a long time ago in a country far away. The man seems to be shouting or so. There was a situation involving a knife. This situation occurred a while ago and occurred in an unknown place far from here. The. There was a woman with smudged mascara holding a cigarette. She seems to have cried. This occurred a long time ago and the woman i. This was a situation of a struggle between a man and a woman. This occurred a long time ago and happened in a place across the glob. The man was about to slap the woman. This struggle occurred a while ago and happened in a city that's across the. This occurred a long time ago to two people who live in a country far away. This occurre. This situation occurred a long time ago. There seems to have been some altercation between the two people in the photo. This occurred in a place f. This was a picture taken a long time ago. The masked being was in a place far away an. This occurred in an unknown city far from here. The animal was . 
7,YBR2002,Y,BR,2002,1,CHANGE,LOOK,FAR,,RegNeg,,"Someone's insides are cut open some time in the past. F. A lady and man are having a disagreement 100 years in the future. Wh. A woman in the future disciplines her child. WHy . Presumably a mother and a father are having an argument in front of their child in the future. . A man in the future is holding a man by his collar. He probably wants something from him. . I'm so upset oh my god. . In the future a woman is throwing flower petals at someone, probably for a ceremony or demons. A woman in the future seems to be lecturing another younger woman about something. . A woman in the future yells at a man and grabs him by his collar. . A man and woman are having a disagreement in the past. jzjh. "
8,YAQ2001,Y,AQ,2001,3,LOOK,CHANGE,FAR,3.033333333333333,RegNeg,1.6666666666666667,The baby was in the hospital. The baby seemed to have suffered from some condition. This was taken a long time ago and . This was a picture of a man holding a gun to another man's head. This occurred a long time a. This man was threatening someone with a knife. This occurred a long time ago and in an unknown place far away. T. The man slapped the woman. This occurred a while ago and in a town far from here . This was a tense situation of a man attacking a woman with a knife. This occurred a while ago and in a place far away. This. There was a man holding a knife to a woman's neck. This took place in a location far away and occurred a long time ago. The . This man had a knife pointed at his neck. This situation occurred a long time ago and in a place far away. . This was a tense situation of a man holding a gun to a woman's face. This occurred a long time ago and took place in a country far far away. . This was a tense argument between two people. They weren't very happy. This occurred a long time ago and occur. This occurred a long time ago. The location looks unfamiliar but was some kind of house. This . 
9,YAQ2001,Y,AQ,2001,4,LOOK,CHANGE,FAR,0.8999999999999999,RegNeg,2.4,There was a situation that involved police and a man who was screaming out. This took place a long time ago in a city far from here . There was a young child in shock or in the middle of shouting. There was a man pointing at another nman. There was a situation in a courthouse where a man has had his mouth duct-taped shut and was staring menacingly at another man. This occurred a long time ago and a. There was a group of men held captive with their wrists tied. This happened a long time ago and was in an unknown place far away. . This was a tense situation where a group of men were held in a ditch. This occurred a long time ago and was in a country far away.. There was a body crouched over on fire. This unfortunate burning occurred a while ago and this happened in a place far away. This was a car accident that occurred a long time ago. There were fire fighters at the scene and the car was pretty badly damaged as it had hit a po. There was a car accident where the car was flipped upside-down. This occurred a long time ago and in a place far away. . There was a house fire and fire fighters were rescuing someone. This happened a long time ago in an unknown place far away.. There was a folding situation where a family of three are wading through water. The dad has his daughter on his shoulders and the water is quite deep. T. 
